benchmark,n,drift,opening_vs_vbar,positive,sign_p,buyer_climb_over_drift,drift_share_pct,seller_opening_miss,seller_opening_p,seller_move_vs_benchmark,seller_move_p,buyer_opening_miss,buyer_opening_p,buyer_move_vs_benchmark,buyer_move_p
All 18 no-information periods,18,-15.799444444444438,-10.028888888888888,13/18,0.09625244140625,-4.4876803986477345,-22.28322677125868,-29.46034188034188,9.49461853498149e-05,13.575598290598286,0.3587754179264916,46.233174603174625,0.011507206708495149,86.70230158730158,0.0006373287492346202
Excluding each market's opening period (primary),13,7.680000000000007,-32.1976923076923,12/13,0.00341796875,9.232142857142849,10.831721470019351,-7.2915384615384635,0.18176141686102584,-9.903846153846159,0.09844906701239087,68.40197802197801,0.0007890177144352604,63.22285714285714,0.0035016513264688343
Excluding opening and flagged periods,12,7.8633333333333395,-32.545558333333325,11/12,0.00634765625,9.01689577908314,11.090291209972069,-6.943672435897438,0.2019548021319869,-10.08717948717949,0.09766559081048176,68.74984404761905,0.0007574503125708198,63.03952380952381,0.003582548455569187
"Markets 3-5 only, excluding opening periods",7,6.665714285714289,-46.20428571428572,6/7,0.125,10.636948135447916,9.401192778852359,6.715054945054961,0.21620594303834537,-8.88956043956044,0.2055471240325694,82.40857142857145,0.00015986315025649377,64.23714285714286,0.0032676171991014263
