measure,column,n_sell,n_buy,mean_sell,mean_buy,diff,p_welch,p_mwu
$D$ at first trade,D_first,13,14,1.0397926176387715,0.3167391626461394,0.7230534549926322,0.0020202214128724424,0.0008872287600146993
$D$ at last trade,D_last,13,14,1.0889769888231426,0.9077590290846104,0.18121795973853227,0.003026123722609002,0.004528632847483329
"$D$, period average",D_mean,13,14,1.1177471430781387,0.6790978748739709,0.43864926820416783,6.713243135005772e-05,9.369852852119802e-05
Change across period,D_change,13,14,0.049184371184371085,0.5910198664384712,-0.5418354952541,0.018781301368615826,0.014262982670900436
Slope on position,slope_D_per_norm,13,14,0.034428111749593066,0.42021894590149245,-0.3857908341518994,0.01989075473434713,0.014262982670900436
Francs moved in period,francs_change,13,14,-2.223846153846151,70.90285714285713,-73.12670329670328,0.001230775787494389,0.001748436594696864
"Francs from RE, last trade",gap_francs_last,13,14,5.239230769230771,11.731428571428571,-6.492197802197801,0.16169395717846438,0.7524427599988597
