sample,measure,n_sell,n_buy,mean_sell,mean_buy,diff,p_welch,p_mwu
markets 3-5,distance below interval ($D$ units),13,14,0.027836104066873278,0.009068887634105032,0.018767216432768248,0.49024089047910047,0.533724659235096
excluding market 5 buy side (degenerate interval),distance below interval ($D$ units),13,7,0.027836104066873278,0.018137775268210064,0.009698328798663215,0.7567854421466825,1.0
markets 3 and 4 only,distance below interval ($D$ units),10,7,0.032525396825396825,0.018137775268210064,0.014387621557186762,0.7052618316054752,0.9305789049345812
"markets 3-5, non-degenerate intervals",position of first trade at $D\ge0.8$,13,11,0.1458476980535804,0.42922440906187037,-0.28337671100829,0.041928377126269546,0.32329145759254263
"markets 3-5, non-degenerate intervals",fraction of trades inside the interval,13,14,0.8197586726998491,0.8988051284587062,-0.07904645575885705,0.28601615365068006,0.24675444953601167
