panel,sample,measure,diff,p_welch,p_mwu,p_perm_within_market,fe_diff,p_fe_ols,p_fe_cluster,n_sell,n_buy,mean_sell,mean_buy
A: inference scheme,"markets 3-5, 27 periods",$D$ at first trade,0.7230534549926322,0.0020202214128724424,0.0008872287600146993,0.0014999250037498126,0.6898872428028192,0.005256797699061138,0.0016058553003318323,,,,
A: inference scheme,"markets 3-5, 27 periods",$D$ at last trade,0.18121795973853227,0.003026123722609002,0.004528632847483329,0.0025498725063746812,0.1721357428043762,0.007762081982674805,1.0559515706150916e-07,,,,
A: inference scheme,"markets 3-5, 27 periods","$D$, period average",0.43864926820416783,6.713243135005772e-05,9.369852852119802e-05,0.00014999250037498125,0.43214927637190104,0.00023866644066576032,2.1435043637302583e-05,,,,
A: inference scheme,"markets 3-5, 27 periods",Change across period,-0.5418354952541,0.018781301368615826,0.014262982670900436,0.01319934003299835,-0.517751499998443,0.0339207529387873,0.023949284472620805,,,,
A: inference scheme,"markets 3-5, 27 periods",Slope on position,-0.3857908341518994,0.01989075473434713,0.014262982670900436,0.018349082545872707,-0.3946646567520604,0.02258344041531256,0.0645424313701116,,,,
A: inference scheme,"markets 3-5, 27 periods",Francs moved in period,-73.12670329670328,0.001230775787494389,0.001748436594696864,4.999750012499375e-05,-85.57283281039888,0.00010815044399107807,0.00010514730352874687,,,,
B: sample,"Markets 3-5, all 27 periods",$D$ at first trade,0.7230534549926322,0.0020202214128724424,0.0008872287600146993,,,,,13.0,14.0,1.0397926176387715,0.3167391626461394
B: sample,"Markets 3-5, all 27 periods",Francs moved in period,-73.12670329670328,0.001230775787494389,0.001748436594696864,,,,,13.0,14.0,-2.223846153846151,70.90285714285713
B: sample,Four flagged periods dropped,$D$ at first trade,0.7077689958620192,0.004866989331561056,0.0028488217372830706,,,,,11.0,14.0,1.0245081585081586,0.3167391626461394
B: sample,Four flagged periods dropped,Francs moved in period,-75.38012987012985,0.0009810576827901654,0.0013620432054441904,,,,,11.0,14.0,-4.477272727272725,70.90285714285713
B: sample,23 merged-run periods dropped,$D$ at first trade,0.41849569835848915,0.23786985554596282,0.17094017094017094,,,,,5.0,8.0,0.7485973137973139,0.3301016154388247
B: sample,23 merged-run periods dropped,Francs moved in period,-56.12649999999999,0.007036135360397837,0.010878010878010878,,,,,5.0,8.0,-13.463999999999999,42.662499999999994
B: sample,All five markets,$D$ at first trade,0.15429166351445572,0.6156571848829788,0.07598012883439702,,,,,17.0,19.0,0.5041886719758707,0.34989700846141497
B: sample,All five markets,Francs moved in period,-61.04371517027863,0.0008147753245790716,0.0015309400947513588,,,,,17.0,19.0,-7.235294117647055,53.80842105263157
