side,measure,n,slope,se,p_ols,rho,p_spearman
buyer,D_first,14,0.4144190404109904,0.10824094566650012,0.0024013542403317537,0.778641378844224,0.0010342912784102787
buyer,D_last,14,0.020732562917603198,0.03829246551179719,0.5981220856049225,0.15026412574186782,0.6081298134798896
buyer,D_mean,14,0.1605536876288315,0.058458421490313245,0.017718100584595952,0.6648049199488697,0.009487294821560893
buyer,slope_D_per_norm,14,-0.24203666306656257,0.0682063609047265,0.00400699353937822,-0.6875722117279406,0.006577445932874763
seller,D_first,13,0.006178544381075769,0.1035197471007376,0.9534772927739203,-0.06723981776166309,0.8272314136911981
seller,D_last,13,-0.019905743342452376,0.029674981456173265,0.5161902270755843,-0.2241327258722103,0.4616450011838432
seller,D_mean,13,0.010602166640755441,0.03968123434466126,0.7942709033012124,0.014008295367013144,0.9637726136440905
seller,slope_D_per_norm,13,-0.059503742215163954,0.09020394749699112,0.5230446099520796,-0.11766968108291043,0.7018313597842366
