market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_digitized,period_mean_printed,mean_residual,dot_quality_flag,_k,vb,sp,sd,flg,cu,Dc,u,buy,pid
3,4,16,19,365.31,X,insider,220.0,400.0,400.0,buyer,0.8073,False,332.888,333.0,-0.112,count_uncertain:2@350,"(3, 4)",220.0,180.0,buyer,False,True,0.8072777777777778,0.8333333333333334,1.0,304
3,4,17,19,385.17,X,insider,220.0,400.0,400.0,buyer,0.9176,False,332.888,333.0,-0.112,count_uncertain:2@350,"(3, 4)",220.0,180.0,buyer,False,True,0.9176111111111112,0.8888888888888888,1.0,304
3,4,18,19,390.02,X,insider,220.0,400.0,400.0,buyer,0.94457,False,332.888,333.0,-0.112,count_uncertain:2@350,"(3, 4)",220.0,180.0,buyer,False,True,0.9445555555555555,0.9444444444444444,1.0,304
3,4,19,19,395.13,X,insider,220.0,400.0,400.0,buyer,0.97295,False,332.888,333.0,-0.112,count_uncertain:2@350,"(3, 4)",220.0,180.0,buyer,False,True,0.9729444444444444,1.0,1.0,304
3,5,1,15,149.91,Y,insider,220.0,175.0,220.0,seller,1.55751,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.5575555555555556,0.0,0.0,305
3,5,2,15,149.91,Y,insider,220.0,175.0,220.0,seller,1.55751,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.5575555555555556,0.07142857142857142,0.0,305
3,5,3,15,149.91,Y,insider,220.0,175.0,220.0,seller,1.55751,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.5575555555555556,0.14285714285714285,0.0,305
3,5,4,15,174.69,Y,insider,220.0,175.0,220.0,seller,1.00694,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.006888888888889,0.21428571428571427,0.0,305
3,5,5,15,174.87,Y,insider,220.0,175.0,220.0,seller,1.00282,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.0028888888888887,0.2857142857142857,0.0,305
3,5,6,15,170.21,Y,insider,220.0,175.0,220.0,seller,1.10654,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.1064444444444443,0.35714285714285715,0.0,305
3,5,7,15,159.83,Y,insider,220.0,175.0,220.0,seller,1.33721,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.337111111111111,0.42857142857142855,0.0,305
3,5,8,15,159.83,Y,insider,220.0,175.0,220.0,seller,1.33721,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.337111111111111,0.5,0.0,305
3,5,9,15,159.83,Y,insider,220.0,175.0,220.0,seller,1.33721,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.337111111111111,0.5714285714285714,0.0,305
3,5,10,15,164.52,Y,insider,220.0,175.0,220.0,seller,1.23299,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.2328888888888887,0.6428571428571429,0.0,305
3,5,11,15,164.62,Y,insider,220.0,175.0,220.0,seller,1.23064,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.2306666666666666,0.7142857142857143,0.0,305
3,5,12,15,164.61,Y,insider,220.0,175.0,220.0,seller,1.23085,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.2308888888888885,0.7857142857142857,0.0,305
3,5,13,15,164.84,Y,insider,220.0,175.0,220.0,seller,1.22581,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.2257777777777776,0.8571428571428571,0.0,305
3,5,14,15,164.84,Y,insider,220.0,175.0,220.0,seller,1.22581,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.2257777777777776,0.9285714285714286,0.0,305
3,5,15,15,168.8,Y,insider,220.0,175.0,220.0,seller,1.13783,True,162.747,163.0,-0.253,"count_uncertain:3@150,3@160,2@165","(3, 5)",220.0,-45.0,seller,False,True,1.1377777777777776,1.0,0.0,305
3,6,1,14,199.6,Y,insider,220.0,175.0,220.0,seller,0.45333,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,0.4533333333333335,0.0,0.0,306
3,6,2,14,190.32,Y,insider,220.0,175.0,220.0,seller,0.65945,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,0.6595555555555557,0.07692307692307693,0.0,306
3,6,3,14,175.51,Y,insider,220.0,175.0,220.0,seller,0.98862,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,0.9886666666666669,0.15384615384615385,0.0,306
3,6,4,14,179.98,Y,insider,220.0,175.0,220.0,seller,0.88943,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,0.8893333333333335,0.23076923076923078,0.0,306
3,6,5,14,174.91,Y,insider,220.0,175.0,220.0,seller,1.00209,True,172.748,173.0,-0.252,"count_uncertain:4@165,3@170","(3, 6)",220.0,-45.0,seller,False,True,1.002,0.3076923076923077,0.0,306
