market,side,periods,trades,D_first,D_mean,D_last,change_francs
3,buyer,3,54,0.35185185185185186,0.8015229044834307,0.9870370370370369,114.33333333333333
3,seller,5,73,0.9111111111111111,1.0808465608465607,1.0977777777777777,-8.4
4,buyer,4,85,0.28787878787878785,0.5768934688499905,0.890909090909091,99.5
4,seller,5,78,1.4857142857142858,1.3132879818594103,1.2,10.0
5,buyer,7,135,0.29414771275236395,0.6592261954689838,0.8563761819575773,35.714285714285715
5,seller,3,49,0.7435897435897435,1.0916239316239313,1.133333333333333,-12.666666666666666
