side,rung,period_pairs,discovery,change_from_0
buyer,0,11,0.4777272727272728,0.0
buyer,1,11,0.5128181818181818,0.0350909090909091
buyer,1b,11,0.5878181818181818,0.11009090909090907
buyer,2,11,0.6659999999999999,0.18827272727272726
buyer,3,11,0.9417272727272727,0.464
seller,0,5,0.30179999999999996,0.0
seller,1,5,0.18719999999999998,-0.11460000000000001
seller,1b,5,0.46399999999999997,0.16219999999999996
seller,2,5,0.9814,0.6796
seller,3,5,0.8859999999999999,0.5841999999999998
