group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
m3,m3_gem_paper,0,3,20250745,6,Y,seller,220.0,175,170.3,1.104,21,170,175,1.1111111111111112,1.0,-0.1111111111111111
m3,m3_gem_paper,0,3,20250745,7,X,buyer,220.0,400,227.2,0.04,24,175,380,-0.25,0.8888888888888888,1.1388888888888888
m3,m3_gem_paper,0,3,20250745,8,Y,seller,220.0,175,181.2,0.862,24,175,170,1.0,1.1111111111111112,0.1111111111111111
m3,m3_gem_paper,0,3,20250745,9,X,buyer,220.0,400,279.8,0.332,20,220,300,0.0,0.4444444444444444,0.4444444444444444
m3,m3_gem_paper,0,3,20250745,10,Y,seller,220.0,175,175.3,0.994,19,185,174,0.7777777777777778,1.0222222222222221,0.24444444444444444
m3,m3_paper_0,0,3,20250745,3,Y,seller,220.0,175,147.0,1.623,21,140,151,1.7777777777777777,1.5333333333333334,-0.24444444444444444
m3,m3_paper_0,0,3,20250745,4,X,buyer,220.0,400,260.1,0.223,17,250,275,0.16666666666666666,0.3055555555555556,0.1388888888888889
m3,m3_paper_0,0,3,20250745,5,Y,seller,220.0,175,153.7,1.474,24,150,149,1.5555555555555556,1.5777777777777777,0.022222222222222223
m3,m3_paper_0,0,3,20250745,6,Y,seller,220.0,175,160.5,1.322,25,160,170,1.3333333333333333,1.1111111111111112,-0.2222222222222222
m3,m3_paper_0,0,3,20250745,7,X,buyer,220.0,400,250.0,0.167,20,250,250,0.16666666666666666,0.16666666666666666,0.0
m3,m3_paper_0,0,3,20250745,8,Y,seller,220.0,175,164.5,1.234,19,160,174,1.3333333333333333,1.0222222222222221,-0.3111111111111111
m3,m3_paper_0,0,3,20250745,9,X,buyer,220.0,400,248.8,0.16,26,250,200,0.16666666666666666,-0.1111111111111111,-0.2777777777777778
m3,m3_paper_0,0,3,20250745,10,Y,seller,220.0,175,180.0,0.889,22,200,179,0.4444444444444444,0.9111111111111111,0.4666666666666667
m3,m3_paper_1,0,3,20250746,3,Y,seller,220.0,175,193.5,0.588,11,200,179,0.4444444444444444,0.9111111111111111,0.4666666666666667
m3,m3_paper_1,0,3,20250746,4,X,buyer,220.0,400,200.0,-0.111,16,200,200,-0.1111111111111111,-0.1111111111111111,0.0
m3,m3_paper_1,0,3,20250746,5,Y,seller,220.0,175,176.5,0.967,18,170,176,1.1111111111111112,0.9777777777777777,-0.13333333333333333
m3,m3_paper_1,0,3,20250746,6,Y,seller,220.0,175,166.2,1.194,24,165,150,1.2222222222222223,1.5555555555555556,0.3333333333333333
m3,m3_paper_1,0,3,20250746,7,X,buyer,220.0,400,243.3,0.13,20,170,124,-0.2777777777777778,-0.5333333333333333,-0.25555555555555554
m3,m3_paper_1,0,3,20250746,8,Y,seller,220.0,175,188.1,0.709,28,200,149,0.4444444444444444,1.5777777777777777,1.1333333333333333
m3,m3_paper_1,0,3,20250746,9,X,buyer,220.0,400,228.1,0.045,19,200,144,-0.1111111111111111,-0.4222222222222222,-0.3111111111111111
m3,m3_paper_1,0,3,20250746,10,Y,seller,220.0,175,174.4,1.014,29,200,90,0.4444444444444444,2.888888888888889,2.4444444444444446
m3,m3_random_0,0,3,20250747,3,X,buyer,220.0,400,214.9,-0.029,21,210,217,-0.05555555555555555,-0.016666666666666666,0.03888888888888889
m3,m3_random_0,0,3,20250747,4,X,buyer,220.0,400,251.7,0.176,19,250,256,0.16666666666666666,0.2,0.03333333333333333
m3,m3_random_0,0,3,20250747,5,X,buyer,220.0,400,273.7,0.298,21,250,290,0.16666666666666666,0.3888888888888889,0.2222222222222222
m3,m3_random_0,0,3,20250747,6,Y,seller,220.0,175,178.6,0.919,24,170,178,1.1111111111111112,0.9333333333333333,-0.17777777777777778
m3,m3_random_0,0,3,20250747,7,Y,seller,220.0,175,169.3,1.128,23,170,170,1.1111111111111112,1.1111111111111112,-0.0
m3,m3_random_0,0,3,20250747,8,Y,seller,220.0,175,170.3,1.104,24,170,173,1.1111111111111112,1.0444444444444445,-0.06666666666666667
m3,m3_random_0,0,3,20250747,9,X,buyer,220.0,400,248.2,0.157,11,150,260,-0.3888888888888889,0.2222222222222222,0.6111111111111112
m3,m3_random_0,0,3,20250747,10,Y,seller,220.0,175,199.3,0.46,28,219,150,0.022222222222222223,1.5555555555555556,1.5333333333333334
m3,m3_random_1,0,3,20250748,3,X,buyer,220.0,400,212.0,-0.044,22,210,221,-0.05555555555555555,0.005555555555555556,0.06111111111111111
m3,m3_random_1,0,3,20250748,4,Y,seller,220.0,175,225.9,-0.13,21,200,250,0.4444444444444444,-0.6666666666666666,-1.1111111111111112
m3,m3_random_1,0,3,20250748,5,X,buyer,220.0,400,297.6,0.431,20,250,301,0.16666666666666666,0.45,0.2833333333333333
m3,m3_random_1,0,3,20250748,6,Y,seller,220.0,175,200.0,0.444,15,200,200,0.4444444444444444,0.4444444444444444,-0.0
m3,m3_random_1,0,3,20250748,7,Y,seller,220.0,175,179.6,0.897,11,198,174,0.4888888888888889,1.0222222222222221,0.5333333333333333
m3,m3_random_1,0,3,20250748,8,Y,seller,220.0,175,174.3,1.016,19,179,174,0.9111111111111111,1.0222222222222221,0.1111111111111111
m3,m3_random_1,0,3,20250748,9,X,buyer,220.0,400,161.8,-0.323,19,150,200,-0.3888888888888889,-0.1111111111111111,0.2777777777777778
m3,m3_random_1,0,3,20250748,10,X,buyer,220.0,400,171.4,-0.27,21,150,180,-0.3888888888888889,-0.2222222222222222,0.16666666666666666
m3,m3_random_2,0,3,20250749,3,Y,seller,220.0,175,173.5,1.033,20,150,174,1.5555555555555556,1.0222222222222221,-0.5333333333333333
m3,m3_random_2,0,3,20250749,4,Y,seller,220.0,175,153.5,1.478,16,175,100,1.0,2.6666666666666665,1.6666666666666667
m3,m3_random_2,0,3,20250749,5,Y,seller,220.0,175,168.2,1.15,20,180,150,0.8888888888888888,1.5555555555555556,0.6666666666666666
m3,m3_random_2,0,3,20250749,6,X,buyer,220.0,400,171.7,-0.269,20,200,150,-0.1111111111111111,-0.3888888888888889,-0.2777777777777778
m3,m3_random_2,0,3,20250749,7,Y,seller,220.0,175,159.5,1.345,26,174,175,1.0222222222222221,1.0,-0.022222222222222223
m3,m3_random_2,0,3,20250749,8,Y,seller,220.0,175,168.5,1.145,17,176,174,0.9777777777777777,1.0222222222222221,0.044444444444444446
m3,m3_random_2,0,3,20250749,9,Y,seller,220.0,175,153.5,1.477,17,150,160,1.5555555555555556,1.3333333333333333,-0.2222222222222222
m3,m3_random_2,0,3,20250749,10,Y,seller,220.0,175,147.9,1.601,20,101,170,2.6444444444444444,1.1111111111111112,-1.5333333333333334
m4,m4_paper_0,0,4,20250755,5,Y,seller,210.0,175,161.2,1.393,20,170,150,1.1428571428571428,1.7142857142857142,0.5714285714285714
m4,m4_paper_0,0,4,20250755,6,X,buyer,210.0,375,216.8,0.041,17,200,255,-0.06060606060606061,0.2727272727272727,0.3333333333333333
m4,m4_paper_0,0,4,20250755,7,Y,seller,210.0,175,150.8,1.692,22,145,149,1.8571428571428572,1.7428571428571429,-0.11428571428571428
m4,m4_paper_0,0,4,20250755,8,Y,seller,210.0,175,178.1,0.911,25,190,140,0.5714285714285714,2.0,1.4285714285714286
m4,m4_paper_0,0,4,20250755,9,X,buyer,210.0,375,271.6,0.374,19,250,300,0.24242424242424243,0.5454545454545454,0.30303030303030304
m4,m4_paper_0,0,4,20250755,10,Y,seller,210.0,175,161.2,1.394,18,150,174,1.7142857142857142,1.0285714285714285,-0.6857142857142857
m4,m4_paper_0,0,4,20250755,11,X,buyer,210.0,375,251.1,0.249,19,200,280,-0.06060606060606061,0.42424242424242425,0.48484848484848486
m4,m4_paper_0,0,4,20250755,12,Y,seller,210.0,175,194.0,0.457,15,200,174,0.2857142857142857,1.0285714285714285,0.7428571428571429
m4,m4_paper_0,0,4,20250755,13,X,buyer,210.0,375,251.6,0.252,19,220,300,0.06060606060606061,0.5454545454545454,0.48484848484848486
m4,m4_paper_1,0,4,20250756,5,Y,seller,210.0,175,149.8,1.721,17,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714
m4,m4_paper_1,0,4,20250756,6,X,buyer,210.0,375,145.3,-0.392,15,149,101,-0.3696969696969697,-0.6606060606060606,-0.2909090909090909
m4,m4_paper_1,0,4,20250756,7,Y,seller,210.0,175,150.1,1.712,13,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714
m4,m4_paper_1,0,4,20250756,8,Y,seller,210.0,175,151.6,1.668,19,151,152,1.6857142857142857,1.6571428571428573,-0.02857142857142857
m4,m4_paper_1,0,4,20250756,9,X,buyer,210.0,375,240.2,0.183,18,149,270,-0.3696969696969697,0.36363636363636365,0.7333333333333333
m4,m4_paper_1,0,4,20250756,10,Y,seller,210.0,175,150.6,1.697,22,149,151,1.7428571428571429,1.6857142857142857,-0.05714285714285714
m4,m4_paper_1,0,4,20250756,11,X,buyer,210.0,375,228.2,0.11,25,160,141,-0.30303030303030304,-0.41818181818181815,-0.11515151515151516
m4,m4_paper_1,0,4,20250756,12,Y,seller,210.0,175,149.7,1.723,20,150,150,1.7142857142857142,1.7142857142857142,-0.0
m4,m4_paper_1,0,4,20250756,13,X,buyer,210.0,375,260.1,0.304,23,170,300,-0.24242424242424243,0.5454545454545454,0.7878787878787878
m4,m4_random_0,0,4,20250757,5,X,buyer,210.0,375,166.1,-0.266,20,140,300,-0.42424242424242425,0.5454545454545454,0.9696969696969697
m4,m4_random_0,0,4,20250757,6,X,buyer,210.0,375,215.9,0.036,14,150,242,-0.36363636363636365,0.19393939393939394,0.5575757575757576
m4,m4_random_0,0,4,20250757,7,Y,seller,210.0,175,153.9,1.604,24,150,250,1.7142857142857142,-1.1428571428571428,-2.857142857142857
m4,m4_random_0,0,4,20250757,8,Y,seller,210.0,175,156.7,1.522,25,155,160,1.5714285714285714,1.4285714285714286,-0.14285714285714285
m4,m4_random_0,0,4,20250757,9,Y,seller,210.0,175,163.1,1.339,24,155,165,1.5714285714285714,1.2857142857142858,-0.2857142857142857
m4,m4_random_0,0,4,20250757,10,X,buyer,210.0,375,205.4,-0.028,24,200,200,-0.06060606060606061,-0.06060606060606061,0.0
m4,m4_random_0,0,4,20250757,11,Y,seller,210.0,175,161.3,1.393,23,160,166,1.4285714285714286,1.2571428571428571,-0.17142857142857143
m4,m4_random_0,0,4,20250757,12,Y,seller,210.0,175,146.7,1.809,22,170,103,1.1428571428571428,3.057142857142857,1.9142857142857144
m4,m4_random_0,0,4,20250757,13,Y,seller,210.0,175,171.1,1.112,24,170,174,1.1428571428571428,1.0285714285714285,-0.11428571428571428
m4,m4_random_1,0,4,20250758,5,X,buyer,210.0,375,229.4,0.117,16,220,230,0.06060606060606061,0.12121212121212122,0.06060606060606061
m4,m4_random_1,0,4,20250758,6,X,buyer,210.0,375,215.1,0.031,17,200,245,-0.06060606060606061,0.21212121212121213,0.2727272727272727
m4,m4_random_1,0,4,20250758,7,Y,seller,210.0,175,193.7,0.467,23,200,180,0.2857142857142857,0.8571428571428571,0.5714285714285714
m4,m4_random_1,0,4,20250758,8,Y,seller,210.0,175,194.5,0.443,8,200,181,0.2857142857142857,0.8285714285714286,0.5428571428571428
m4,m4_random_1,0,4,20250758,9,Y,seller,210.0,175,166.9,1.233,21,160,174,1.4285714285714286,1.0285714285714285,-0.4
m4,m4_random_1,0,4,20250758,10,Y,seller,210.0,175,174.0,1.029,20,174,174,1.0285714285714285,1.0285714285714285,-0.0
m4,m4_random_1,0,4,20250758,11,Y,seller,210.0,175,144.8,1.862,19,140,146,2.0,1.8285714285714285,-0.17142857142857143
m4,m4_random_1,0,4,20250758,12,X,buyer,210.0,375,247.2,0.226,20,200,300,-0.06060606060606061,0.5454545454545454,0.6060606060606061
m4,m4_random_1,0,4,20250758,13,Y,seller,210.0,175,172.3,1.077,25,150,150,1.7142857142857142,1.7142857142857142,-0.0
m4,m4_random_2,0,4,20250759,5,X,buyer,210.0,375,221.7,0.071,23,220,230,0.06060606060606061,0.12121212121212122,0.06060606060606061
m4,m4_random_2,0,4,20250759,6,Y,seller,210.0,175,132.8,2.206,14,140,146,2.0,1.8285714285714285,-0.17142857142857143
m4,m4_random_2,0,4,20250759,7,Y,seller,210.0,175,149.8,1.719,28,140,150,2.0,1.7142857142857142,-0.2857142857142857
m4,m4_random_2,0,4,20250759,8,X,buyer,210.0,375,150.3,-0.362,20,140,160,-0.42424242424242425,-0.30303030303030304,0.12121212121212122
m4,m4_random_2,0,4,20250759,9,X,buyer,210.0,375,214.5,0.027,19,140,330,-0.42424242424242425,0.7272727272727273,1.1515151515151516
m4,m4_random_2,0,4,20250759,10,Y,seller,210.0,175,202.7,0.208,25,200,140,0.2857142857142857,2.0,1.7142857142857142
m4,m4_random_2,0,4,20250759,11,X,buyer,210.0,375,309.5,0.603,19,350,240,0.8484848484848485,0.18181818181818182,-0.6666666666666666
m4,m4_random_2,0,4,20250759,12,X,buyer,210.0,375,301.1,0.552,18,300,260,0.5454545454545454,0.30303030303030304,-0.24242424242424243
m4,m4_random_2,0,4,20250759,13,Y,seller,210.0,175,207.2,0.079,17,200,206,0.2857142857142857,0.11428571428571428,-0.17142857142857143
m5,m5_paper_0,0,5,20250765,4,X,seller,212.5,180,162.5,1.538,20,170,155,1.3076923076923077,1.7692307692307692,0.46153846153846156
m5,m5_paper_0,0,5,20250765,5,X,seller,212.5,180,169.2,1.332,23,170,170,1.3076923076923077,1.3076923076923077,-0.0
m5,m5_paper_0,0,5,20250765,6,Y,buyer,212.5,245,221.5,0.277,22,220,224,0.23076923076923078,0.35384615384615387,0.12307692307692308
m5,m5_paper_0,0,5,20250765,7,Z,buyer,212.5,320,240.9,0.264,22,250,250,0.3488372093023256,0.3488372093023256,0.0
m5,m5_paper_0,0,5,20250765,8,Z,buyer,212.5,320,181.2,-0.291,25,200,151,-0.11627906976744186,-0.5720930232558139,-0.4558139534883721
m5,m5_paper_0,0,5,20250765,9,Y,buyer,212.5,245,188.3,-0.745,18,200,171,-0.38461538461538464,-1.2769230769230768,-0.8923076923076924
m5,m5_paper_0,0,5,20250765,10,Y,buyer,212.5,245,154.6,-1.782,20,169,121,-1.3384615384615384,-2.8153846153846156,-1.476923076923077
m5,m5_paper_0,0,5,20250765,11,X,seller,212.5,180,188.4,0.74,23,200,120,0.38461538461538464,2.8461538461538463,2.4615384615384617
m5,m5_paper_0,0,5,20250765,12,Y,buyer,212.5,245,200.2,-0.378,20,200,202,-0.38461538461538464,-0.3230769230769231,0.06153846153846154
m5,m5_paper_0,0,5,20250765,13,Z,buyer,212.5,320,197.7,-0.137,22,200,200,-0.11627906976744186,-0.11627906976744186,0.0
m5,m5_paper_1,0,5,20250766,4,X,seller,212.5,180,175.7,1.132,17,170,177,1.3076923076923077,1.0923076923076922,-0.2153846153846154
m5,m5_paper_1,0,5,20250766,5,X,seller,212.5,180,168.6,1.351,20,170,155,1.3076923076923077,1.7692307692307692,0.46153846153846156
m5,m5_paper_1,0,5,20250766,6,Y,buyer,212.5,245,170.5,-1.292,23,170,171,-1.3076923076923077,-1.2769230769230768,0.03076923076923077
m5,m5_paper_1,0,5,20250766,7,Z,buyer,212.5,320,161.0,-0.479,21,155,161,-0.5348837209302325,-0.4790697674418605,0.05581395348837209
m5,m5_paper_1,0,5,20250766,8,Z,buyer,212.5,320,195.3,-0.16,21,190,198,-0.20930232558139536,-0.13488372093023257,0.07441860465116279
m5,m5_paper_1,0,5,20250766,9,Y,buyer,212.5,245,186.9,-0.786,18,175,190,-1.1538461538461537,-0.6923076923076923,0.46153846153846156
m5,m5_paper_1,0,5,20250766,10,Y,buyer,212.5,245,180.5,-0.986,22,180,182,-1.0,-0.9384615384615385,0.06153846153846154
m5,m5_paper_1,0,5,20250766,11,X,seller,212.5,180,203.6,0.273,19,210,154,0.07692307692307693,1.8,1.7230769230769232
m5,m5_paper_1,0,5,20250766,12,Y,buyer,212.5,245,159.8,-1.621,17,150,180,-1.9230769230769231,-1.0,0.9230769230769231
m5,m5_paper_1,0,5,20250766,13,Z,buyer,212.5,320,303.4,0.846,21,300,311,0.813953488372093,0.9162790697674419,0.10232558139534884
m5,m5_random_0,0,5,20250767,4,Z,buyer,212.5,320,147.7,-0.603,24,150,200,-0.5813953488372093,-0.11627906976744186,0.46511627906976744
m5,m5_random_0,0,5,20250767,5,Z,buyer,212.5,320,258.9,0.431,20,250,260,0.3488372093023256,0.4418604651162791,0.09302325581395349
m5,m5_random_0,0,5,20250767,6,X,seller,212.5,180,197.7,0.455,22,200,179,0.38461538461538464,1.0307692307692307,0.6461538461538462
m5,m5_random_0,0,5,20250767,7,X,seller,212.5,180,180.8,0.975,11,199,179,0.4153846153846154,1.0307692307692307,0.6153846153846154
m5,m5_random_0,0,5,20250767,8,Z,buyer,212.5,320,161.2,-0.477,23,159,161,-0.49767441860465117,-0.4790697674418605,0.018604651162790697
m5,m5_random_0,0,5,20250767,9,Z,buyer,212.5,320,177.1,-0.329,22,159,160,-0.49767441860465117,-0.4883720930232558,0.009302325581395349
m5,m5_random_0,0,5,20250767,10,X,seller,212.5,180,189.4,0.709,18,180,190,1.0,0.6923076923076923,-0.3076923076923077
m5,m5_random_0,0,5,20250767,11,X,seller,212.5,180,179.4,1.019,21,180,179,1.0,1.0307692307692307,0.03076923076923077
m5,m5_random_0,0,5,20250767,12,X,seller,212.5,180,179.0,1.031,18,179,179,1.0307692307692307,1.0307692307692307,-0.0
m5,m5_random_0,0,5,20250767,13,X,seller,212.5,180,179.1,1.029,20,180,179,1.0,1.0307692307692307,0.03076923076923077
m5,m5_random_1,0,5,20250768,4,Z,buyer,212.5,320,172.5,-0.372,19,160,171,-0.4883720930232558,-0.386046511627907,0.10232558139534884
m5,m5_random_1,0,5,20250768,5,Z,buyer,212.5,320,250.0,0.349,18,250,250,0.3488372093023256,0.3488372093023256,0.0
m5,m5_random_1,0,5,20250768,6,Y,buyer,212.5,245,219.2,0.206,19,200,225,-0.38461538461538464,0.38461538461538464,0.7692307692307693
m5,m5_random_1,0,5,20250768,7,Z,buyer,212.5,320,216.8,0.04,26,220,135,0.06976744186046512,-0.7209302325581395,-0.7906976744186046
m5,m5_random_1,0,5,20250768,8,X,seller,212.5,180,197.7,0.455,21,180,198,1.0,0.4461538461538462,-0.5538461538461539
m5,m5_random_1,0,5,20250768,9,Y,buyer,212.5,245,196.1,-0.505,25,180,200,-1.0,-0.38461538461538464,0.6153846153846154
m5,m5_random_1,0,5,20250768,10,X,seller,212.5,180,181.8,0.945,9,150,179,1.9230769230769231,1.0307692307692307,-0.8923076923076924
m5,m5_random_1,0,5,20250768,11,Z,buyer,212.5,320,190.3,-0.207,23,200,170,-0.11627906976744186,-0.3953488372093023,-0.27906976744186046
m5,m5_random_1,0,5,20250768,12,Z,buyer,212.5,320,250.0,0.349,20,250,250,0.3488372093023256,0.3488372093023256,0.0
m5,m5_random_1,0,5,20250768,13,Y,buyer,212.5,245,208.6,-0.121,21,210,220,-0.07692307692307693,0.23076923076923078,0.3076923076923077
m5,m5_random_2,0,5,20250769,4,X,seller,212.5,180,172.4,1.234,21,170,180,1.3076923076923077,1.0,-0.3076923076923077
m5,m5_random_2,0,5,20250769,5,Z,buyer,212.5,320,164.5,-0.447,18,150,170,-0.5813953488372093,-0.3953488372093023,0.18604651162790697
m5,m5_random_2,0,5,20250769,6,Z,buyer,212.5,320,180.0,-0.302,17,180,180,-0.3023255813953488,-0.3023255813953488,0.0
m5,m5_random_2,0,5,20250769,7,X,seller,212.5,180,167.3,1.389,23,150,152,1.9230769230769231,1.8615384615384616,-0.06153846153846154
m5,m5_random_2,0,5,20250769,8,Y,buyer,212.5,245,169.2,-1.333,23,180,150,-1.0,-1.9230769230769231,-0.9230769230769231
m5,m5_random_2,0,5,20250769,9,Z,buyer,212.5,320,196.9,-0.145,24,140,153,-0.6744186046511628,-0.5534883720930233,0.12093023255813953
m5,m5_random_2,0,5,20250769,10,Z,buyer,212.5,320,263.3,0.473,21,300,250,0.813953488372093,0.3488372093023256,-0.46511627906976744
m5,m5_random_2,0,5,20250769,11,Y,buyer,212.5,245,204.3,-0.251,18,180,170,-1.0,-1.3076923076923077,-0.3076923076923077
m5,m5_random_2,0,5,20250769,12,Z,buyer,212.5,320,267.9,0.515,22,300,158,0.813953488372093,-0.5069767441860465,-1.3209302325581396
m5,m5_random_2,0,5,20250769,13,X,seller,212.5,180,162.8,1.531,20,140,170,2.230769230769231,1.3076923076923077,-0.9230769230769231
rounds,m4_r4_paper,0,4,20250755,5,Y,seller,210.0,175,154.3,1.592,14,150,150,1.7142857142857142,1.7142857142857142,-0.0
rounds,m4_r4_paper,0,4,20250755,6,X,buyer,210.0,375,275.2,0.395,26,200,202,-0.06060606060606061,-0.048484848484848485,0.012121212121212121
rounds,m4_r4_paper,0,4,20250755,7,Y,seller,210.0,175,175.1,0.998,35,200,175,0.2857142857142857,1.0,0.7142857142857143
rounds,m4_r4_paper,0,4,20250755,8,Y,seller,210.0,175,150.7,1.695,29,150,151,1.7142857142857142,1.6857142857142857,-0.02857142857142857
rounds,m4_r4_paper,0,4,20250755,9,X,buyer,210.0,375,133.6,-0.463,18,101,150,-0.6606060606060606,-0.36363636363636365,0.296969696969697
rounds,m4_r4_paper,0,4,20250755,10,Y,seller,210.0,175,152.3,1.649,24,149,153,1.7428571428571429,1.6285714285714286,-0.11428571428571428
rounds,m4_r4_paper,0,4,20250755,11,X,buyer,210.0,375,177.6,-0.196,17,170,200,-0.24242424242424243,-0.06060606060606061,0.18181818181818182
rounds,m4_r4_paper,0,4,20250755,12,Y,seller,210.0,175,174.0,1.028,29,150,160,1.7142857142857142,1.4285714285714286,-0.2857142857142857
rounds,m4_r4_paper,0,4,20250755,13,X,buyer,210.0,375,151.6,-0.354,27,170,200,-0.24242424242424243,-0.06060606060606061,0.18181818181818182
rounds,m4_r4_random,0,4,20250757,5,X,buyer,210.0,375,218.5,0.052,18,200,270,-0.06060606060606061,0.36363636363636365,0.42424242424242425
rounds,m4_r4_random,0,4,20250757,6,X,buyer,210.0,375,197.6,-0.075,25,200,200,-0.06060606060606061,-0.06060606060606061,0.0
rounds,m4_r4_random,0,4,20250757,7,Y,seller,210.0,175,292.2,-2.349,23,150,301,1.7142857142857142,-2.6,-4.314285714285714
rounds,m4_r4_random,0,4,20250757,8,Y,seller,210.0,175,236.5,-0.757,2,273,200,-1.8,0.2857142857142857,2.085714285714286
rounds,m4_r4_random,0,4,20250757,9,Y,seller,210.0,175,199.4,0.304,24,209,170,0.02857142857142857,1.1428571428571428,1.1142857142857143
rounds,m4_r4_random,0,4,20250757,10,X,buyer,210.0,375,230.5,0.124,21,200,280,-0.06060606060606061,0.42424242424242425,0.48484848484848486
rounds,m4_r4_random,0,4,20250757,11,Y,seller,210.0,175,247.4,-1.068,23,248,248,-1.0857142857142856,-1.0857142857142856,-0.0
rounds,m4_r4_random,0,4,20250757,12,Y,seller,210.0,175,187.8,0.635,13,199,174,0.3142857142857143,1.0285714285714285,0.7142857142857143
rounds,m4_r4_random,0,4,20250757,13,Y,seller,210.0,175,174.9,1.003,17,189,174,0.6,1.0285714285714285,0.42857142857142855
rounds,m4_r5_paper,0,4,20250755,5,Y,seller,210.0,175,142.3,1.935,24,120,151,2.5714285714285716,1.6857142857142857,-0.8857142857142857
rounds,m4_r5_paper,0,4,20250755,6,X,buyer,210.0,375,202.9,-0.043,19,200,215,-0.06060606060606061,0.030303030303030304,0.09090909090909091
rounds,m4_r5_paper,0,4,20250755,7,Y,seller,210.0,175,161.8,1.376,37,180,150,0.8571428571428571,1.7142857142857142,0.8571428571428571
rounds,m4_r5_paper,0,4,20250755,8,Y,seller,210.0,175,163.3,1.335,24,160,145,1.4285714285714286,1.8571428571428572,0.42857142857142855
rounds,m4_r5_paper,0,4,20250755,9,X,buyer,210.0,375,211.6,0.01,22,100,280,-0.6666666666666666,0.42424242424242425,1.0909090909090908
rounds,m4_r5_paper,0,4,20250755,10,Y,seller,210.0,175,158.4,1.473,37,200,189,0.2857142857142857,0.6,0.3142857142857143
rounds,m4_r5_paper,0,4,20250755,11,X,buyer,210.0,375,220.4,0.063,30,200,261,-0.06060606060606061,0.3090909090909091,0.3696969696969697
rounds,m4_r5_paper,0,4,20250755,12,Y,seller,210.0,175,158.2,1.48,35,150,101,1.7142857142857142,3.1142857142857143,1.4
rounds,m4_r5_paper,0,4,20250755,13,X,buyer,210.0,375,288.2,0.474,21,300,200,0.5454545454545454,-0.06060606060606061,-0.6060606060606061
rounds,m4_r5_random,0,4,20250757,5,X,buyer,210.0,375,190.9,-0.115,19,190,200,-0.12121212121212122,-0.06060606060606061,0.06060606060606061
rounds,m4_r5_random,0,4,20250757,6,X,buyer,210.0,375,273.1,0.382,32,205,300,-0.030303030303030304,0.5454545454545454,0.5757575757575758
rounds,m4_r5_random,0,4,20250757,7,Y,seller,210.0,175,129.8,2.291,21,100,150,3.142857142857143,1.7142857142857142,-1.4285714285714286
rounds,m4_r5_random,0,4,20250757,8,Y,seller,210.0,175,215.3,-0.151,27,200,211,0.2857142857142857,-0.02857142857142857,-0.3142857142857143
rounds,m4_r5_random,0,4,20250757,9,Y,seller,210.0,175,198.1,0.341,18,215,170,-0.14285714285714285,1.1428571428571428,1.2857142857142858
rounds,m4_r5_random,0,4,20250757,10,X,buyer,210.0,375,254.2,0.268,26,210,280,0.0,0.42424242424242425,0.42424242424242425
rounds,m4_r5_random,0,4,20250757,11,Y,seller,210.0,175,170.2,1.138,24,150,174,1.7142857142857142,1.0285714285714285,-0.6857142857142857
rounds,m4_r5_random,0,4,20250757,12,Y,seller,210.0,175,176.2,0.967,33,200,174,0.2857142857142857,1.0285714285714285,0.7428571428571429
rounds,m4_r5_random,0,4,20250757,13,Y,seller,210.0,175,173.0,1.057,28,200,170,0.2857142857142857,1.1428571428571428,0.8571428571428571
rounds,m4_r6_paper,0,4,20250755,5,Y,seller,210.0,175,154.5,1.586,22,151,163,1.6857142857142857,1.3428571428571427,-0.34285714285714286
rounds,m4_r6_paper,0,4,20250755,6,X,buyer,210.0,375,200.0,-0.061,17,200,200,-0.06060606060606061,-0.06060606060606061,0.0
rounds,m4_r6_paper,0,4,20250755,7,Y,seller,210.0,175,168.0,1.201,30,165,176,1.2857142857142858,0.9714285714285714,-0.3142857142857143
rounds,m4_r6_paper,0,4,20250755,8,Y,seller,210.0,175,172.6,1.07,30,176,174,0.9714285714285714,1.0285714285714285,0.05714285714285714
rounds,m4_r6_paper,0,4,20250755,9,X,buyer,210.0,375,200.0,-0.061,16,200,200,-0.06060606060606061,-0.06060606060606061,0.0
rounds,m4_r6_paper,0,4,20250755,10,Y,seller,210.0,175,189.8,0.576,29,199,190,0.3142857142857143,0.5714285714285714,0.2571428571428571
rounds,m4_r6_paper,0,4,20250755,11,X,buyer,210.0,375,236.3,0.16,32,200,276,-0.06060606060606061,0.4,0.46060606060606063
rounds,m4_r6_paper,0,4,20250755,12,Y,seller,210.0,175,169.1,1.169,27,199,145,0.3142857142857143,1.8571428571428572,1.542857142857143
rounds,m4_r6_paper,0,4,20250755,13,X,buyer,210.0,375,280.8,0.429,27,250,296,0.24242424242424243,0.5212121212121212,0.2787878787878788
rounds,m4_r6_random,0,4,20250757,5,X,buyer,210.0,375,214.1,0.025,16,200,229,-0.06060606060606061,0.11515151515151516,0.17575757575757575
rounds,m4_r6_random,0,4,20250757,6,X,buyer,210.0,375,274.5,0.391,31,200,300,-0.06060606060606061,0.5454545454545454,0.6060606060606061
rounds,m4_r6_random,0,4,20250757,7,Y,seller,210.0,175,202.6,0.21,22,200,209,0.2857142857142857,0.02857142857142857,-0.2571428571428571
