group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery
control,m7_ctrl_44,0,A,44,12,X,buyer,260.0,360,310.0,0.5,18,300,310,0.4,0.5,0.1
control,m7_ctrl_44,0,A,44,13,Y,seller,260.0,160,193.5,0.665,23,200,150,0.6,1.1,0.5
control,m7_ctrl_45,0,A,45,5,X,buyer,260.0,360,286.6,0.266,25,250,340,-0.1,0.8,0.9
control,m7_ctrl_45,0,A,45,6,X,buyer,260.0,360,260.3,0.003,13,250,280,-0.1,0.2,0.3
control,m7_ctrl_45,0,A,45,7,Y,seller,260.0,160,167.5,0.925,25,250,111,0.1,1.49,1.39
control,m7_ctrl_45,0,A,45,8,X,buyer,260.0,360,299.5,0.395,19,300,290,0.4,0.3,-0.1
control,m7_ctrl_45,0,A,45,9,Y,seller,260.0,160,158.8,1.012,21,200,110,0.6,1.5,0.9
control,m7_ctrl_45,0,A,45,10,Y,seller,260.0,160,139.0,1.21,26,165,113,0.95,1.47,0.52
control,m7_ctrl_45,0,A,45,11,Y,seller,260.0,160,164.8,0.952,29,200,110,0.6,1.5,0.9
control,m7_ctrl_45,0,A,45,12,Y,seller,260.0,160,173.6,0.864,18,200,164,0.6,0.96,0.36
control,m7_ctrl_45,0,A,45,13,X,buyer,260.0,360,208.8,-0.512,15,200,228,-0.6,-0.32,0.28
control,m8_ctrl_42,0,B,42,5,Y,seller,300.0,200,299.1,0.009,22,300,299,-0.0,0.01,0.01
control,m8_ctrl_42,0,B,42,6,Y,seller,300.0,200,281.3,0.187,25,290,191,0.1,1.09,0.99
control,m8_ctrl_42,0,B,42,7,X,buyer,300.0,400,300.0,0.0,12,300,300,0.0,0.0,0.0
control,m8_ctrl_42,0,B,42,8,X,buyer,300.0,400,352.2,0.522,18,300,360,0.0,0.6,0.6
control,m8_ctrl_42,0,B,42,9,X,buyer,300.0,400,353.0,0.53,23,300,372,0.0,0.72,0.72
control,m8_ctrl_42,0,B,42,10,X,buyer,300.0,400,361.9,0.619,23,300,380,0.0,0.8,0.8
control,m8_ctrl_42,0,B,42,11,X,buyer,300.0,400,364.5,0.645,24,251,349,-0.49,0.49,0.98
control,m8_ctrl_42,0,B,42,12,X,buyer,300.0,400,383.6,0.836,19,379,395,0.79,0.95,0.16
control,m8_ctrl_42,0,B,42,13,Y,seller,300.0,200,262.4,0.376,20,296,201,0.04,0.99,0.95
control,m8_ctrl_43,0,B,43,5,Y,seller,300.0,200,252.0,0.48,24,300,200,-0.0,1.0,1.0
control,m8_ctrl_43,0,B,43,6,Y,seller,300.0,200,227.5,0.725,32,300,179,-0.0,1.21,1.21
control,m8_ctrl_43,0,B,43,7,X,buyer,300.0,400,341.9,0.419,16,350,350,0.5,0.5,0.0
control,m8_ctrl_43,0,B,43,8,X,buyer,300.0,400,345.3,0.453,21,350,351,0.5,0.51,0.01
control,m8_ctrl_43,0,B,43,9,X,buyer,300.0,400,334.2,0.342,25,280,351,-0.2,0.51,0.71
control,m8_ctrl_43,0,B,43,10,X,buyer,300.0,400,351.4,0.514,22,350,351,0.5,0.51,0.01
control,m8_ctrl_43,0,B,43,11,X,buyer,300.0,400,373.4,0.734,21,290,355,-0.1,0.55,0.65
control,m8_ctrl_43,0,B,43,12,X,buyer,300.0,400,360.3,0.603,20,349,370,0.49,0.7,0.21
control,m8_ctrl_43,0,B,43,13,Y,seller,300.0,200,283.9,0.161,25,300,100,-0.0,2.0,2.0
control,m8_ctrl_44,0,B,44,5,X,buyer,300.0,400,300.8,0.008,12,300,305,0.0,0.05,0.05
control,m8_ctrl_44,0,B,44,6,Y,seller,300.0,200,287.0,0.13,9,295,279,0.05,0.21,0.16
control,m8_ctrl_44,0,B,44,7,Y,seller,300.0,200,263.0,0.37,2,276,250,0.24,0.5,0.26
control,m8_ctrl_44,0,B,44,8,Y,seller,300.0,200,210.5,0.895,13,279,199,0.21,1.01,0.8
control,m8_ctrl_44,0,B,44,9,X,buyer,300.0,400,350.2,0.502,19,350,351,0.5,0.51,0.01
control,m8_ctrl_44,0,B,44,10,Y,seller,300.0,200,237.2,0.628,10,276,234,0.24,0.66,0.42
control,m8_ctrl_44,0,B,44,11,X,buyer,300.0,400,324.7,0.247,24,300,352,0.0,0.52,0.52
control,m8_ctrl_44,0,B,44,12,Y,seller,300.0,200,286.6,0.134,7,295,259,0.05,0.41,0.36
control,m8_ctrl_44,0,B,44,13,Y,seller,300.0,200,255.4,0.446,17,300,238,-0.0,0.62,0.62
disclosed,m7_disc_42,0,A,42,5,Y,seller,260.0,160,230.2,0.298,17,230,234,0.3,0.26,-0.04
disclosed,m7_disc_42,0,A,42,6,X,buyer,260.0,360,297.6,0.376,19,300,295,0.4,0.35,-0.05
disclosed,m7_disc_42,0,A,42,7,Y,seller,260.0,160,298.7,-0.387,22,300,299,-0.4,-0.39,0.01
disclosed,m7_disc_42,0,A,42,8,X,buyer,260.0,360,299.9,0.399,18,300,300,0.4,0.4,0.0
disclosed,m7_disc_42,0,A,42,9,Y,seller,260.0,160,249.6,0.104,8,254,248,0.06,0.12,0.06
