market,period,state,info,side,vbar,re_price,second_val,span_francs,band_lo_price,band_hi_price,band_lo_D,band_hi_D,band_width_D,band_width_francs,quality_flag,count_uncertain,flagged,mean_printed,mean_recovered,mean_residual,n_trades,D_first,D_last,D_mean,D_min,D_max,D_change,p_first,p_last,p_mean,francs_first,francs_last,francs_change,gap_francs_first,gap_francs_last,slope_D_per_trade,p_slope_trade,slope_D_per_norm,p_slope_norm,slope_francs_per_trade,slope_D_norm_h1,p_slope_h1,slope_D_norm_h2,p_slope_h2,slope_D_trade_h1,slope_D_trade_h2,D_h1_mean,D_h2_mean,D_dec1,D_dec2,D_dec3,D_dec4,D_dec5,D_dec6,D_dec7,D_dec8,D_dec9,D_dec10,D_qui1,D_qui2,D_qui3,D_qui4,D_qui5,n_in_band,frac_in_band,ttb_index,ttb_frac,reached_band,ended_in_band,tt80_index,tt80_frac,reached_D80,ended_D80,ttn_index,ttn_frac,reached_near,ended_near,n_beyond_RE,frac_beyond_RE,any_beyond_RE,k_side,k_state,layer,source,band_degenerate
3,3,Y,insider,seller,220.0,175.0,150.0,-45.0,150.0,175.0,1.0,1.5555555555555556,0.5555555555555556,25.0,ok,False,False,189.0,188.667,-0.333,15,0.4444444444444444,1.1111111111111112,0.6962962962962962,0.2222222222222222,1.2222222222222223,0.6666666666666667,200.0,170.0,188.66666666666663,-20.0,-50.0,-30.0,25.0,5.0,0.0694444444444444,3.0778560500184956e-06,0.9722222222222224,3.0778560500184783e-06,-3.125,0.2777777777777778,0.2736308737651715,1.3333333333333337,0.0136973266153256,0.0198412698412698,0.0952380952380952,0.4305555555555555,1.0,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.6111111111111112,0.6666666666666666,1.0555555555555556,1.2222222222222223,1.1666666666666667,0.3703703703703704,0.4074074074074074,0.5925925925925926,0.925925925925926,1.1851851851851851,5.0,0.3333333333333333,11.0,0.7333333333333333,True,True,11.0,0.7333333333333333,True,True,1.0,0.0666666666666666,True,True,4.0,0.2666666666666666,True,1.0,1.0,L3_appendix_transcribed,results/human/trades.csv,False
3,4,X,insider,buyer,220.0,400.0,300.0,180.0,300.0,400.0,0.4444444444444444,1.0,0.5555555555555556,100.0,ok,True,False,333.0,332.895,-0.105,19,0.2222222222222222,0.9722222222222222,0.6271929824561403,0.2222222222222222,0.9722222222222222,0.75,260.0,395.0,332.89473684210526,40.0,175.0,135.0,140.0,5.0,0.0411793372319688,1.0293753699104711e-12,0.7412280701754385,1.0293753699105152e-12,7.412280701754385,0.9393939393939392,1.4258966972098318e-05,0.5416666666666667,0.0004094219444985,0.0521885521885521,0.0300925925925925,0.4444444444444443,0.8302469135802469,0.2638888888888889,0.3194444444444444,0.4166666666666666,0.5833333333333333,0.5555555555555556,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.8611111111111112,0.9583333333333331,0.2916666666666667,0.5,0.6666666666666666,0.7777777777777778,0.9097222222222224,14.0,0.7368421052631579,6.0,0.3157894736842105,True,True,16.0,0.8421052631578947,True,True,6.0,0.3157894736842105,True,True,0.0,0.0,False,1.0,1.0,L3_appendix_transcribed,results/human/trades.csv,False
3,5,Y,insider,seller,220.0,175.0,150.0,-45.0,150.0,175.0,1.0,1.5555555555555556,0.5555555555555556,25.0,ok,True,False,163.0,162.933,-0.067,15,1.5555555555555556,1.1333333333333333,1.2681481481481478,1.0,1.5555555555555556,-0.4222222222222223,150.0,169.0,162.93333333333334,-70.0,-51.0,19.0,25.0,6.0,-0.0173015873015872,0.1115720261669338,-0.2422222222222221,0.1115720261669338,0.7785714285714285,-0.6666666666666669,0.2288269652418527,-0.3,0.0313868366476615,-0.0476190476190476,-0.0214285714285714,1.3055555555555554,1.2253968253968253,1.5555555555555556,1.5555555555555556,1.0,1.1111111111111112,1.3333333333333333,1.3333333333333333,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.1777777777777778,1.5555555555555556,1.037037037037037,1.3333333333333333,1.2222222222222223,1.1925925925925926,15.0,1.0,1.0,0.0666666666666666,True,True,1.0,0.0666666666666666,True,True,1.0,0.0666666666666666,True,True,13.0,0.8666666666666667,True,2.0,2.0,L3_appendix_transcribed,results/human/trades.csv,False
3,6,Y,insider,seller,220.0,175.0,150.0,-45.0,150.0,175.0,1.0,1.5555555555555556,0.5555555555555556,25.0,ok,True,False,173.0,172.857,-0.143,14,0.4444444444444444,1.1111111111111112,1.0476190476190474,0.4444444444444444,1.3333333333333333,0.6666666666666667,200.0,170.0,172.85714285714286,-20.0,-50.0,-30.0,25.0,5.0,0.0371184371184371,0.0131412969647794,0.4825396825396826,0.0131412969647794,-1.6703296703296704,1.7023809523809526,0.0030910974794155,-0.3095238095238097,0.0117248110039545,0.1309523809523809,-0.0238095238095238,0.9365079365079364,1.1587301587301586,0.5555555555555556,1.0,0.8888888888888888,1.1666666666666663,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.7037037037037037,1.0740740740740742,1.2222222222222223,1.1851851851851851,1.1111111111111112,11.0,0.7857142857142857,3.0,0.2142857142857142,True,True,3.0,0.2142857142857142,True,True,1.0,0.0714285714285714,True,True,9.0,0.6428571428571429,True,3.0,3.0,L3_appendix_transcribed,results/human/trades.csv,False
3,7,X,insider,buyer,220.0,400.0,300.0,180.0,300.0,400.0,0.4444444444444444,1.0,0.5555555555555556,100.0,ok,True,False,364.0,364.053,0.053,19,-0.1111111111111111,0.9944444444444444,0.8002923976608185,-0.1111111111111111,0.9944444444444444,1.1055555555555556,200.0,399.0,364.05263157894734,-20.0,179.0,199.0,200.0,1.0,0.0433820662768031,0.0001062085631222,0.7808771929824561,0.0001062085631222,7.808771929824561,2.0393939393939395,0.0002046927547616,0.0933333333333334,0.0017694957423648,0.1132996632996633,0.0051851851851851,0.6416666666666666,0.9765432098765432,0.0,0.5833333333333333,0.7638888888888888,0.8888888888888888,0.9722222222222222,0.9583333333333331,0.9722222222222222,0.9722222222222222,0.9833333333333334,0.9944444444444444,0.2916666666666666,0.8263888888888888,0.9629629629629628,0.9722222222222222,0.9888888888888888,17.0,0.8947368421052632,3.0,0.1578947368421052,True,True,6.0,0.3157894736842105,True,True,3.0,0.1578947368421052,True,True,0.0,0.0,False,2.0,2.0,L3_appendix_transcribed,results/human/trades.csv,False
3,8,Y,insider,seller,220.0,175.0,150.0,-45.0,150.0,175.0,1.0,1.5555555555555556,0.5555555555555556,25.0,ok,True,False,165.0,165.286,0.286,14,1.0,1.0888888888888888,1.2158730158730156,1.0,1.5555555555555556,0.0888888888888888,175.0,171.0,165.28571428571428,-45.0,-49.0,-4.0,0.0,4.0,-0.0119169719169719,0.1882994036507578,-0.1549206349206349,0.1882994036507578,0.5362637362637362,0.3095238095238097,0.5042210844725842,-0.3404761904761908,0.0012444641651753,0.0238095238095238,-0.0261904761904762,1.26984126984127,1.1619047619047618,1.1111111111111112,1.3333333333333333,1.5555555555555556,1.2777777777777777,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.1555555555555554,1.1111111111111112,1.1,1.1851851851851851,1.3703703703703702,1.2222222222222223,1.2,1.1037037037037036,14.0,1.0,1.0,0.0714285714285714,True,True,1.0,0.0714285714285714,True,True,1.0,0.0714285714285714,True,True,13.0,0.9285714285714286,True,4.0,4.0,L3_appendix_transcribed,results/human/trades.csv,False
3,9,X,insider,buyer,220.0,400.0,300.0,180.0,300.0,400.0,0.4444444444444444,1.0,0.5555555555555556,100.0,ok,True,False,396.0,395.875,-0.125,16,0.9444444444444444,0.9944444444444444,0.9770833333333332,0.9444444444444444,0.9944444444444444,0.05,390.0,399.0,395.875,170.0,179.0,9.0,10.0,1.0,0.0015196078431372,0.0073539291059979,0.0227941176470588,0.0073539291059979,0.2735294117647059,0.0644841269841269,0.0115426458572729,0.0248015873015872,0.2241630437228471,0.0042989417989417,0.0016534391534391,0.9729166666666668,0.98125,0.9583333333333331,0.9722222222222222,0.9722222222222222,0.9833333333333332,0.9833333333333332,0.9888888888888888,0.9722222222222222,0.9722222222222222,0.9833333333333332,0.9888888888888888,0.9629629629629628,0.975925925925926,0.9851851851851852,0.9722222222222222,0.986111111111111,16.0,1.0,1.0,0.0625,True,True,1.0,0.0625,True,True,1.0,0.0625,True,True,0.0,0.0,False,3.0,3.0,L3_appendix_transcribed,results/human/trades.csv,False
3,10,Y,insider,seller,220.0,175.0,150.0,-45.0,150.0,175.0,1.0,1.5555555555555556,0.5555555555555556,25.0,ok,True,False,167.0,167.067,0.067,15,1.1111111111111112,1.0444444444444445,1.1762962962962962,1.0444444444444445,1.3333333333333333,-0.0666666666666666,170.0,173.0,167.06666666666666,-50.0,-47.0,3.0,5.0,2.0,-0.0125396825396825,0.0040770094546389,-0.1755555555555556,0.0040770094546389,0.5642857142857143,0.0370370370370372,0.7970385741881906,-0.4333333333333335,0.0017639807039955,0.0026455026455026,-0.0309523809523809,1.2222222222222223,1.1238095238095238,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.1111111111111112,1.0888888888888888,1.0555555555555556,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.148148148148148,1.0666666666666669,15.0,1.0,1.0,0.0666666666666666,True,True,1.0,0.0666666666666666,True,True,1.0,0.0666666666666666,True,True,15.0,1.0,True,5.0,5.0,L3_appendix_transcribed,results/human/trades.csv,False
4,5,Y,insider,seller,210.0,175.0,150.0,-35.0,150.0,175.0,1.0,1.7142857142857142,0.7142857142857142,25.0,ok,True,False,157.0,157.412,0.412,17,1.7142857142857142,1.4285714285714286,1.5025210084033611,1.4285714285714286,1.7142857142857142,-0.2857142857142856,150.0,160.0,157.41176470588235,-60.0,-50.0,10.0,25.0,15.0,-0.0139355742296918,5.433353114034283e-05,-0.2229691876750699,5.433353114034283e-05,0.4877450980392157,-0.3428571428571427,0.0423300580019848,-0.1306122448979592,0.0300197452875444,-0.0214285714285714,-0.0081632653061224,1.5555555555555556,1.442857142857143,1.6428571428571428,1.5714285714285714,1.5714285714285714,1.5,1.4285714285714286,1.5285714285714285,1.4571428571428573,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.607142857142857,1.5238095238095235,1.4952380952380953,1.4476190476190478,1.4285714285714286,17.0,1.0,1.0,0.0588235294117647,True,True,1.0,0.0588235294117647,True,True,1.0,0.0588235294117647,True,True,17.0,1.0,True,1.0,1.0,L3_appendix_transcribed,results/human/trades.csv,False
4,6,X,insider,buyer,210.0,375.0,275.0,165.0,275.0,375.0,0.3939393939393939,1.0,0.6060606060606061,100.0,ok,True,False,254.0,253.478,-0.522,23,-0.2424242424242424,0.9090909090909092,0.2635046113306982,-0.2424242424242424,0.9090909090909092,1.1515151515151514,170.0,360.0,253.4782608695652,-40.0,150.0,190.0,205.0,15.0,0.0387471553479458,3.0104841444912236e-07,0.8524374176548092,3.010484144491203e-07,6.3932806324110665,1.7249417249417254,2.706551499441608e-05,0.5575757575757575,0.0723568368782611,0.0784064420428056,0.0253443526170798,0.0808080808080808,0.4628099173553719,-0.2222222222222222,-0.1818181818181818,-0.0606060606060606,0.4242424242424242,0.4242424242424242,0.4242424242424242,0.3787878787878788,0.4242424242424242,0.4242424242424242,0.5959595959595959,-0.2060606060606061,0.1818181818181818,0.4242424242424242,0.4015151515151515,0.5272727272727272,15.0,0.6521739130434783,8.0,0.3478260869565217,True,True,23.0,1.0,True,True,8.0,0.3478260869565217,True,True,0.0,0.0,False,1.0,1.0,L3_appendix_transcribed,results/human/trades.csv,False
