group,run_id,session,market,seed,period,state,side,uninformed_level,re,mean_price,discovery,n_trades,first_price,last_price,first_discovery,last_discovery,change_discovery,rung
disclosed,m8_disc_42,0,B,42,12,X,buyer,300.0,400,380.8,0.808,26,390,390,0.9,0.9,0.0,1
disclosed,m8_disc_42,0,B,42,13,Y,seller,300.0,200,308.8,-0.088,23,250,333,0.5,-0.33,-0.83,1
ladder1b,m7_lad1b_42,0,A,42,5,Y,seller,260.0,160,261.9,-0.019,14,260,265,-0.0,-0.05,-0.05,1b
ladder1b,m7_lad1b_42,0,A,42,6,X,buyer,260.0,360,267.1,0.071,12,260,285,0.0,0.25,0.25,1b
ladder1b,m7_lad1b_42,0,A,42,7,Y,seller,260.0,160,249.1,0.109,12,250,245,0.1,0.15,0.05,1b
ladder1b,m7_lad1b_42,0,A,42,8,X,buyer,260.0,360,273.7,0.137,15,250,300,-0.1,0.4,0.5,1b
ladder1b,m7_lad1b_42,0,A,42,9,Y,seller,260.0,160,240.9,0.191,24,230,262,0.3,-0.02,-0.32,1b
ladder1b,m7_lad1b_42,0,A,42,10,Y,seller,260.0,160,237.8,0.222,17,230,238,0.3,0.22,-0.08,1b
ladder1b,m7_lad1b_42,0,A,42,11,X,buyer,260.0,360,297.2,0.372,23,251,300,-0.09,0.4,0.49,1b
ladder1b,m7_lad1b_42,0,A,42,12,X,buyer,260.0,360,347.7,0.877,23,350,359,0.9,0.99,0.09,1b
ladder1b,m7_lad1b_42,0,A,42,13,X,buyer,260.0,360,359.0,0.99,18,359,359,0.99,0.99,0.0,1b
ladder1b,m8_lad1b_42,0,B,42,5,Y,seller,300.0,200,208.9,0.911,22,199,209,1.01,0.91,-0.1,1b
ladder1b,m8_lad1b_42,0,B,42,6,Y,seller,300.0,200,198.9,1.011,18,199,198,1.01,1.02,0.01,1b
ladder1b,m8_lad1b_42,0,B,42,7,X,buyer,300.0,400,345.3,0.453,10,310,351,0.1,0.51,0.41,1b
ladder1b,m8_lad1b_42,0,B,42,8,X,buyer,300.0,400,341.9,0.419,11,300,351,0.0,0.51,0.51,1b
ladder1b,m8_lad1b_42,0,B,42,9,X,buyer,300.0,400,377.6,0.776,17,380,390,0.8,0.9,0.1,1b
ladder1b,m8_lad1b_42,0,B,42,10,X,buyer,300.0,400,385.7,0.857,19,399,395,0.99,0.95,-0.04,1b
ladder1b,m8_lad1b_42,0,B,42,11,X,buyer,300.0,400,371.1,0.711,14,350,397,0.5,0.97,0.47,1b
ladder1b,m8_lad1b_42,0,B,42,12,X,buyer,300.0,400,380.3,0.803,15,360,392,0.6,0.92,0.32,1b
