side,periods,trades,first_D_mean,last_D_mean,mean_D,change_D_mean,first_gap_mean,first_gap_median,last_gap_mean,last_gap_median,francs_change_mean,francs_change_median,first_dev_mean,first_dev_median,last_dev_mean,last_dev_median
buyer,14,274,0.3047217640240896,0.8942414820321797,0.6661947112237957,0.5895197180080901,82.5,70.0,12.428571428571429,5.0,70.78571428571429,59.0,-82.5,-70.0,-11.714285714285714,-5.0
seller,13,200,1.0934535549920164,1.145299145299145,1.172734192953973,0.051845590307128764,15.384615384615385,15.0,5.384615384615385,5.0,-2.3076923076923075,0.0,-3.076923076923077,-5.0,-5.384615384615385,-5.0
