market,period,state,info,side,vbar,re_price,second_val,span_francs,band_lo_price,band_hi_price,band_lo_D,band_hi_D,band_width_D,band_width_francs,quality_flag,count_uncertain,flagged,mean_printed,mean_recovered,mean_residual,n_trades,D_first,D_last,D_mean,D_min,D_max,D_change,p_first,p_last,p_mean,francs_first,francs_last,francs_change,gap_francs_first,gap_francs_last,slope_D_per_trade,p_slope_trade,slope_D_per_norm,p_slope_norm,slope_francs_per_trade,slope_D_norm_h1,p_slope_h1,slope_D_norm_h2,p_slope_h2,slope_D_trade_h1,slope_D_trade_h2,D_h1_mean,D_h2_mean,D_dec1,D_dec2,D_dec3,D_dec4,D_dec5,D_dec6,D_dec7,D_dec8,D_dec9,D_dec10,D_qui1,D_qui2,D_qui3,D_qui4,D_qui5,n_in_band,frac_in_band,ttb_index,ttb_frac,reached_band,ended_in_band,tt80_index,tt80_frac,reached_D80,ended_D80,ttn_index,ttn_frac,reached_near,ended_near,n_beyond_RE,frac_beyond_RE,any_beyond_RE,k_side,k_state,layer,source,band_degenerate
1,1,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,ok,False,False,239.0,239.412,0.412,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3_appendix_transcribed,results/human/trades.csv,False
1,2,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,mean_mismatch,False,True,269.0,263.929,-5.071,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3_appendix_transcribed,results/human/trades.csv,False
1,3,X,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,ok,False,False,272.0,271.786,-0.214,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3_appendix_transcribed,results/human/trades.csv,False
1,4,Y,none,,283.3333333333333,283.3333333333333,283.3333333333333,0.0,283.3333333333333,283.3333333333333,,,,0.0,ok,True,False,280.0,279.5,-0.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3_appendix_transcribed,results/human/trades.csv,False
1,5,Y,insider,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,289.0,289.412,0.412,17,0.04529598308668125,0.4529598308668079,0.16519711478671853,-0.09059196617336096,0.4529598308668079,0.40766384778012665,285.0,300.0,289.4117647058824,1.6666666666666856,16.666666666666686,15.0,35.12835472578763,20.12835472578763,0.017652111055838818,0.001497550992107121,0.2824337768934211,0.001497550992107121,0.6495098039215687,0.0,1.0,0.5694352159468435,0.00771059138396479,0.0,0.03558970099667772,0.090591966173362,0.24912790697674458,0.11323995771670237,0.11323995771670237,-0.09059196617336096,0.11323995771670237,0.18118393234672348,0.11323995771670237,0.18118393234672348,0.18118393234672348,0.24912790697674458,0.3850158562367868,0.11323995771670237,0.04529598308668126,0.13588794926004275,0.18118393234672348,0.3170718816067657,3.0,0.17647058823529413,15.0,0.8823529411764706,True,True,,,False,False,15.0,0.8823529411764706,True,True,0.0,0.0,False,1.0,,L3_appendix_transcribed,results/human/trades.csv,False
1,6,X,insider,seller,283.3333333333333,272.2361553582322,238.9446214329289,-11.09717797510109,238.9446214329289,272.2361553582322,1.0,4.000000000000005,3.0000000000000053,33.29153392530333,ok,False,False,290.0,289.583,-0.417,12,-0.6007533340120154,-0.6007533340120154,-0.5632062506362645,-0.6007533340120154,-0.15018833350300512,0.0,290.0,290.0,289.5833333333333,6.666666666666686,6.666666666666686,0.0,17.763844641767776,17.763844641767776,0.011027814697772977,0.33389313645066043,0.12130596167550282,0.3338931364506602,-0.12237762237762238,0.0,,0.14160614301711766,0.804726162223106,0.0,0.012873285728828865,-0.6007533340120154,-0.5256591672605136,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.15018833350300512,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.6007533340120154,-0.4505650005090119,0.0,0.0,,,False,False,,,False,False,1.0,0.08333333333333333,True,True,0.0,0.0,False,1.0,,L3_appendix_transcribed,results/human/trades.csv,False
1,7,Y,insider,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,301.0,300.714,-0.286,14,0.18118393234672348,0.5888477801268501,0.47237239504681383,0.18118393234672348,0.5888477801268501,0.40766384778012665,290.0,305.0,300.7142857142857,6.666666666666686,21.666666666666686,15.0,30.12835472578763,15.12835472578763,0.024489696350161454,4.761827153600264e-05,0.3183660525520989,4.761827153600307e-05,0.9010989010989011,0.5047266686801568,0.03674259800515247,0.315454167925098,0.03431659920639629,0.03882512836001206,0.02426570522500754,0.3947221383267898,0.5500226517668381,0.24912790697674458,0.4529598308668079,0.4529598308668079,0.4529598308668079,0.4529598308668079,0.4529598308668079,0.520903805496829,0.5888477801268501,0.5888477801268501,0.5888477801268501,0.3170718816067657,0.4529598308668079,0.4529598308668079,0.5435517970401694,0.5888477801268501,13.0,0.9285714285714286,2.0,0.14285714285714285,True,True,,,False,False,2.0,0.14285714285714285,True,True,0.0,0.0,False,2.0,,L3_appendix_transcribed,results/human/trades.csv,False
1,8,Y,insider,seller,283.3333333333333,261.548480972553,253.8060761097877,-21.78485236078029,253.8060761097877,261.548480972553,1.0,1.3554031367549737,0.3554031367549737,7.742404862765312,ok,False,False,289.0,289.5,0.5,10,-0.3060230363859991,-0.5355403136754978,-0.2830713086570492,-0.5355403136754978,-0.07650575909650043,-0.22951727728949872,290.0,295.0,289.5,6.666666666666686,11.666666666666686,5.0,28.451519027446977,33.45151902744698,0.00417304140526361,0.7898482749872356,0.037557372647372474,0.7898482749872358,-0.09090909090909091,0.0,,-0.20656554956054898,0.7608203755145105,0.0,-0.022951727728949878,-0.3060230363859991,-0.2601195809280994,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.07650575909650043,-0.07650575909650043,-0.5355403136754978,-0.3060230363859991,-0.3060230363859991,-0.3060230363859991,-0.19126439774124976,-0.30602303638599915,0.0,0.0,,,False,False,,,False,False,,,False,False,0.0,0.0,False,2.0,,L3_appendix_transcribed,results/human/trades.csv,False
1,9,Y,all,buyer,283.3333333333333,337.64478764478764,296.91119691119695,54.31145431145433,296.91119691119695,337.64478764478764,0.25000000000000105,1.0,0.7499999999999989,40.73359073359069,ok,False,False,310.0,309.688,-0.312,16,0.3068720379146922,1.0433649289099527,0.48524140995260684,0.3068720379146922,1.0433649289099527,0.7364928909952605,300.0,340.0,309.6875,16.666666666666686,56.666666666666686,40.0,37.64478764478764,2.355212355212359,0.0467077293002509,0.0002883464969662679,0.7006159395037634,0.0002883464969662692,2.536764705882353,0.11507701421800942,0.13397459621556135,1.7425947867298572,0.004511751129035705,0.007671800947867296,0.11617298578199049,0.3183797393364931,0.6521030805687206,0.3068720379146922,0.3068720379146922,0.3068720379146922,0.3068720379146922,0.35290284360189594,0.39893364928909975,0.39893364928909975,0.39893364928909975,0.76718009478673,1.0433649289099527,0.3068720379146922,0.3068720379146922,0.3682464454976306,0.39893364928909975,0.9052725118483413,13.0,0.8125,1.0,0.0625,True,False,14.0,0.875,True,True,1.0,0.0625,True,True,3.0,0.1875,True,,,L3_appendix_transcribed,results/human/trades.csv,False
1,10,X,all,buyer,283.3333333333333,320.12835472578763,292.5320886814469,36.795021392454316,292.5320886814469,320.12835472578763,0.2500000000000004,1.0,0.7499999999999996,27.596266044340723,ok,False,False,328.0,327.941,-0.059,17,0.4529598308668079,1.6759513742071879,1.2123336649670438,0.4529598308668079,1.6759513742071879,1.22299154334038,300.0,345.0,327.94117647058823,16.666666666666686,61.666666666666686,45.0,20.12835472578763,24.87164527421237,0.06861009202835465,7.903072311153297e-11,1.0977614724536744,7.903072311153297e-11,2.5245098039215685,1.5219450317124728,4.59755749891898e-05,0.8800362428269402,0.00018145196196643864,0.09512156448202955,0.05500226517668376,0.9512156448202962,1.506091437632135,0.5888477801268501,0.8606236786469346,0.8606236786469346,1.132399577167019,1.2682875264270612,1.2682875264270612,1.4041754756871034,1.5400634249471457,1.5400634249471457,1.6759513742071879,0.7247357293868923,1.0418076109936576,1.2682875264270612,1.4494714587737842,1.6080073995771667,5.0,0.29411764705882354,1.0,0.058823529411764705,True,False,3.0,0.17647058823529413,True,True,1.0,0.058823529411764705,True,True,12.0,0.7058823529411765,True,,,L3_appendix_transcribed,results/human/trades.csv,False
