sample,side,n,D_first,p_first_vs_1,w_first_vs_1,D_last,slope,p_slope_vs_0,francs_moved
all,seller,13,1.0934535549920164,0.5204677057849045,0.5029296875,1.145299145299145,0.03608577615620112,0.770523683677973,-2.3076923076923075
all,buyer,14,0.3047217640240896,0.0007338115749268352,0.0009702397523702141,0.8942414820321797,0.42098612249617967,0.0008656998325399964,70.78571428571429
all,between-side contrast,27,0.7887317909679268,0.0010287396889943584,,,,,
k>=2,seller,10,1.1056166056166055,0.5246424723422871,0.44921875,1.1226129426129425,-0.02770610214396152,0.8225778269459195,-0.6
k>=2,buyer,10,0.5788990079687755,0.0027433863453307115,0.001953125,0.8902826114454021,0.2525768224290094,0.019082996109446224,49.1
k>=2,between-side contrast,20,0.52671759764783,0.013967185199043006,,,,,
k>=3,seller,7,0.9883132740275598,0.957813751136025,1.0,1.1137275422989708,0.03824031559799547,0.8244228041435753,-5.0
k>=3,buyer,6,0.723578961951055,0.01686039559341719,0.03125,0.9329693777368195,0.1766177144717798,0.07893093429940268,32.0
k>=3,between-side contrast,13,0.2647343120765048,0.2768866178648884,,,,,
