market,period,trade_index,n_trades_in_period,price,state,info,vbar,re_price,pi_price,side,D,separating,period_mean_recovered,period_mean_printed,mean_residual,quality_flag
1,5,3,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,4,17,285.0,Y,insider,283.3333,320.0,320.0,buyer,0.04545,False,289.412,289.0,0.412,ok
1,5,5,17,280.0,Y,insider,283.3333,320.0,320.0,buyer,-0.09091,False,289.412,289.0,0.412,ok
1,5,6,17,285.0,Y,insider,283.3333,320.0,320.0,buyer,0.04545,False,289.412,289.0,0.412,ok
1,5,7,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,8,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,9,17,285.0,Y,insider,283.3333,320.0,320.0,buyer,0.04545,False,289.412,289.0,0.412,ok
1,5,10,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,11,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,12,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,13,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,14,17,290.0,Y,insider,283.3333,320.0,320.0,buyer,0.18182,False,289.412,289.0,0.412,ok
1,5,15,17,295.0,Y,insider,283.3333,320.0,320.0,buyer,0.31818,False,289.412,289.0,0.412,ok
1,5,16,17,295.0,Y,insider,283.3333,320.0,320.0,buyer,0.31818,False,289.412,289.0,0.412,ok
1,5,17,17,300.0,Y,insider,283.3333,320.0,320.0,buyer,0.45455,False,289.412,289.0,0.412,ok
1,6,1,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,2,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,3,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,4,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,5,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,6,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,7,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,8,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
1,6,9,12,290.0,X,insider,283.3333,272.0,283.0,seller,-0.58824,True,289.583,290.0,-0.417,ok
